filename,items,results,details
signalment_physical,age,13 years,
signalment_physical,breed,Bichon Frise,
signalment_physical,gender,Male,
signalment_physical,neuter_status,Neutered,
signalment_physical,vomit_nausea,Yes,
signalment_physical,lethargy_weakness,Yes,
signalment_physical,appetite_loss,Yes,
signalment_physical,diarrhea_melena,Yes,
signalment_physical,abdominal_pain,Yes,
signalment_physical,weight_loss,,
signalment_physical,duration,Week prior to presentation and day of presentation,
signalment_physical,bw,8.6 kg,
signalment_physical,temp,100.6°F,
signalment_physical,hr,112/min,
signalment_physical,rr,24/min,
signalment_physical,bcs,4/9,
signalment_physical,hydration_status,"Dry mucous membranes, CRT <2 sec (possibly dehydrated)",
cbc,wbc,28.5 ul,
cbc,red_blood_cell_count,4.64 M/ul,
cbc,hemoglobin,9.9 g/dl,
cbc,packed_cell_volume,29.8%,
cbc,mean_corpuscular_volume,64.2 fl,
cbc,mean_corpuscular_hemoglobin_concentration,33.2 g/dl,
cbc,plasma_protein,6.5 TS-g/dl,
cbc,platelet_count,347000 /ul,
cbc,absolute_neutrophil,24510,
cbc,absolute_bands,,
cbc,absolute_lymphocyte,1140,
cbc,absolute_monocyte,2850,
cbc,absolute_eosinophil,,
cbc,absolute_basophil,,
chem,glucose,"{'value': 120, 'unit': 'mg/dL', 'reference_range': '70-99 mg/dL (normal)', 'interpretation': 'Within normal range.'}",
chem,lactic_acid,"{'value': 1.5, 'unit': 'mmol/L', 'reference_range': '0.5-2.3 mmol/L (normal)', 'interpretation': 'Within normal range.'}",
chem,blood_urea_nitrogen,"{'value': 8, 'unit': 'mg/dL', 'reference_range': '6-14 mg/dL (normal)', 'interpretation': 'Within normal range.'}",
chem,creatinine,"{'value': 1.2, 'unit': 'mg/dL', 'reference_range': '0.7-1.3 mg/dL (normal for male)', 'interpretation': 'Within normal range.'}",
chem,sodium,"{'value': 140, 'unit': 'mEq/L', 'reference_range': '135-145 mEq/L (normal)', 'interpretation': 'Within normal range.'}",
chem,potassium,"{'value': 3.8, 'unit': 'mEq/L', 'reference_range': '3.5-5.0 mEq/L (normal)', 'interpretation': 'Within normal range.'}",
chem,chloride,"{'value': 104, 'unit': 'mEq/L', 'reference_range': '96-106 mEq/L (normal)', 'interpretation': 'Within normal range.'}",
chem,calcium,"{'value': 9.8, 'unit': 'mg/dL', 'reference_range': '8.5-10.2 mg/dL (normal)', 'interpretation': 'Within normal range.'}",
chem,albumin,"{'value': 4.5, 'unit': 'g/dL', 'reference_range': '3.5-5.5 g/dL (normal)', 'interpretation': 'Within normal range.'}",
chem,alkaline_phosphatase,"{'value': 120, 'unit': 'U/L', 'reference_range': '40-140 U/L (normal)', 'interpretation': 'Within normal range.'}",
chem,alanine_transminase,"{'value': 30, 'unit': 'U/L', 'reference_range': '7-56 U/L (normal)', 'interpretation': 'Within normal range.'}",
chem,aspartate_aminotransferase,"{'value': 25, 'unit': 'U/L', 'reference_range': '10-40 U/L (normal)', 'interpretation': 'Within normal range.'}",
chem,total_bilirubin,"{'value': 1.2, 'unit': 'mg/dL', 'reference_range': '0.3-1.7 mg/dL (normal)', 'interpretation': 'Within normal range.'}",
chem,direct_bilirubin,"{'value': 0.6, 'unit': 'mg/dL', 'reference_range': '0.2-0.8 mg/dL (normal)', 'interpretation': 'Within normal range.'}",
chem,indirect_bilirubin,"{'value': 0.6, 'unit': 'mg/dL', 'reference_range': '0.1-1.5 mg/dL (normal)', 'interpretation': 'Within normal range.'}",
chem,total_protein,"{'value': 7.2, 'unit': 'g/dL', 'reference_range': '6.3-8.3 g/dL (normal)', 'interpretation': 'Within normal range.'}",
chem,electrolytes_panel,"{'sodium': 140, 'potassium': 3.8, 'chloride': 104}",
chem,liver_function_panel,"{'alkaline_phosphatase': 120, 'alanine_transminase': 30, 'aspartate_aminotransferase': 25, 'total_bilirubin': 1.2, 'direct_bilirubin': 0.6}",
chem,renal_function_panel,"{'creatinine': 1.2, 'blood_urea_nitrogen': 8}",
cpli,spec_cpli,2001 ug/L,
aus,size,"Left kidney: 52.3 mm; Right kidney: 57.1 mm; Left adrenal gland: 8.5 mm caudally, 7 mm cranially; Right adrenal gland: 6.0 mm; Left medial iliac lymph node: 5.3 mm; Right medial iliac lymph node: 6.0 mm; Jejunal lymph node: 5.7 mm; Spleen: 11.3 mm",
aus,echogenecity_of_pancreatic_parenchyma,Normal appearance,
aus,echogenecity_of_peripancreatic_mesentery,,
aus,pancreatic_echotexture,Normal,
aus,free_fluid_effusion,,
aus,conclusions,"Hepatomegaly with nodules and hyperechoic background likely associated with Diabetes mellitus, possibly due to glycogen accumulation or hyperplasia. Mild pyelectasia in kidneys, mild cellular material in bladder, and possible cystitis.",
